"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"62",6,"uniform",2,0,0.1,"replicator dynamics",7.95208236492949e-25,0.398679340176181,2.15866979775265e-76,1,0.833333333333333,0.736111111111111,0.693147180559945,0.693147180559945,0.973250938780705,55,0,1,"results/strategies/20140918-142436-839023-speaker.csv","results/strategies/20140918-142436-839023-hearer.csv",0.694056068256584,0.767955779940576
"63",6,"uniform",2,0,0.1,"replicator dynamics",4.06043470458499e-260,0.332360837680498,1,1,1,0.888888888888889,0.693147180559945,0.693147180559945,0.996335305510755,201,1,1,"results/strategies/20140918-142437-596465-speaker.csv","results/strategies/20140918-142437-596465-hearer.csv",0.881812591954571,0.784157152085947
"64",6,"uniform",2,0,0.1,"replicator dynamics",1.38275311906555e-52,0.277273219314238,4.68315434097746e-54,1,0.916666666666667,0.847222222222222,0.752038698388137,0.752038698388137,0.990362866534071,201,0,1,"results/strategies/20140918-142438-357323-speaker.csv","results/strategies/20140918-142438-357323-hearer.csv",0.819345445504415,0.817463051794023
"65",6,"uniform",2,0,0.1,"replicator dynamics",4.60447568533432e-05,0.542336093166926,3.15716298900226e-07,1,0.833333333333333,0.694444444444444,0.751991456385484,0.752035331918078,0.973495733968631,5,0,1,"results/strategies/20140918-142438-712684-speaker.csv","results/strategies/20140918-142438-712684-hearer.csv",0.682166779679728,0.647385220391988
"66",6,"uniform",2,0,0.1,"replicator dynamics",1.78471691423275e-05,0.492223367478577,1.67802902336916e-20,1,0.833333333333333,0.777777777777778,0.752020144302902,0.752037972606043,0.982331181690575,7,0,1,"results/strategies/20140918-142439-073987-speaker.csv","results/strategies/20140918-142439-073987-hearer.csv",0.720070481528651,0.69959158951071
"67",6,"uniform",2,0,0.1,"replicator dynamics",9.38520212583639e-57,0.477949015633745,3.52090732145307e-195,1,0.75,0.805555555555556,0.693147180559945,0.693147180559945,0.973250964510772,97,0,1,"results/strategies/20140918-142439-618545-speaker.csv","results/strategies/20140918-142439-618545-hearer.csv",0.73722838298803,0.732522433178412
"68",6,"uniform",2,0,0.1,"replicator dynamics",3.51268108247429e-215,0.172057746947717,1,1,1,0.930555555555556,0.693147180559945,0.693147180559945,0.990916194558642,185,1,1,"results/strategies/20140918-142440-346805-speaker.csv","results/strategies/20140918-142440-346805-hearer.csv",0.881812591954571,0.819952254013105
"69",6,"uniform",2,0,0.1,"replicator dynamics",3.90218467383124e-101,0.307291710231808,1,1,0.916666666666667,0.902777777777778,0.987040513011005,0.987040513011005,0.982082706054413,162,1,1,"results/strategies/20140918-142441-028151-speaker.csv","results/strategies/20140918-142441-028151-hearer.csv",0.621738121347244,0.809307650733561
"70",6,"uniform",2,0,0.1,"replicator dynamics",2.11823993507523e-186,0.37080857624422,1,1,0.916666666666667,0.847222222222222,0.752038698388137,0.752038698388137,0.990915817411752,196,1,1,"results/strategies/20140918-142441-780410-speaker.csv","results/strategies/20140918-142441-780410-hearer.csv",0.814197181787765,0.7891427330388
"71",6,"uniform",2,0,0.1,"replicator dynamics",1.78599636676099e-154,0.514220329046486,0,1,0.833333333333333,0.763888888888889,0.693147180559945,0.693147180559945,0.973249542316944,164,0,1,"results/strategies/20140918-142442-463999-speaker.csv","results/strategies/20140918-142442-463999-hearer.csv",0.694056068256584,0.715888695347599
